"RelativePath","Extension","Lines","Category","Over200"
"src\scripts\lazy-lock-manager.js","js","90","js-runtime","False"
"src\styles\css\lock-components\line-2-transformer.animations.css","css","88","css","False"
"tests\timer.spec.js","js","88","tests","False"
"src\scripts\lock-manager.events.js","js","87","js-runtime","False"
"src\scripts\service-worker-register.js","js","87","js-runtime","False"
"src\styles\css\console.responsive.css","css","85","css","False"
"tests\worm-behavior.spec.js","js","85","tests","False"
"playwright.config.js","js","84","misc","False"
"src\styles\css\game-animations.combo.css","css","84","css","False"
"src\styles\css\lock-components\line-3-transformer.core.css","css","83","css","False"
"src\tools\scripts\line-limit\cli.js","js","82","tools","False"
"src\styles\css\lock-components\line-3-transformer.decorations.css","css","79","css","False"
"src\scripts\symbol-rain.helpers.face-reveal.js","js","78","js-runtime","False"
"src\scripts\utils-combo.ui.js","js","78","js-runtime","False"
"manifest.json","json","77","misc","False"
"src\scripts\player-storage.js","js","77","js-runtime","False"
"src\scripts\worm-behavior.utils.js","js","77","js-runtime","False"
"src\styles\css\lock-components\line-2-transformer.core.css","css","76","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.states.css","css","76","css","False"
"src\scripts\ui-boundary-manager.monitoring.js","js","75","js-runtime","False"
"src\scripts\worm-evasion.js","js","75","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.ui.css","css","75","css","False"
"src\scripts\score-timer.utils.js","js","73","js-runtime","False"
"src\tools\scripts\verify.js","js","73","tools","False"
"src\scripts\constants.part.ui.js","js","72","js-runtime","False"
"src\scripts\game-problem-loader.js","js","72","js-runtime","False"
"src\scripts\game-symbol-helpers.js","js","72","js-runtime","False"
"src\scripts\symbol-rain.interactions.js","js","72","js-runtime","False"
"src\scripts\utils-achievements.definitions.js","js","72","js-runtime","False"
"src\styles\css\console.worm.css","css","72","css","False"
"src\scripts\worm-powerups.js","js","71","js-runtime","False"
"tests\unit\worm-near-miss-ui.spec.js","js","70","tests","False"
"tests\worm-cursor-evasion.spec.js","js","70","tests","False"
"src\scripts\utils-achievements.ui.js","js","68","js-runtime","False"
"src\styles\css\modern-ux-enhancements.toasts.css","css","68","css","False"
"src\scripts\utils-core.js","js","66","js-runtime","False"
"src\styles\css\level-select.header.css","css","66","css","False"
"src\styles\css\worm-base.variant.css","css","66","css","False"
"src\scripts\constants.part.system.js","js","63","js-runtime","False"
"src\styles\css\lock-components\Line-5-transformer.core.css","css","63","css","False"
"src\scripts\game-symbol-handler.stolen.js","js","62","js-runtime","False"
"src\styles\css\lod-animations.reduced-motion.css","css","62","css","False"
"tests\lock-components.spec.js","js","62","tests","False"
"src\scripts\worm-system.cache.js","js","59","js-runtime","False"
"src\scripts\quality-tier-manager.methods.js","js","58","js-runtime","False"
"src\scripts\worm-near-miss-ui.js","js","57","js-runtime","False"
"src\scripts\quality-tier-manager.config.js","js","56","js-runtime","False"
"src\scripts\console-manager.storage.js","js","55","js-runtime","False"
"src\scripts\symbol-rain.config.js","js","55","js-runtime","False"
"tests\global-setup.js","js","55","tests","False"
"src\scripts\game-state-manager.js","js","54","js-runtime","False"
"src\styles\css\lock-components\line-4-transformer.core.css","css","54","css","False"
"src\scripts\symbol-rain.helpers.interactions.js","js","53","js-runtime","False"
"src\scripts\worm-obstacle-map.js","js","53","js-runtime","False"
"src\scripts\worm-behavior.js","js","51","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.core.css","css","51","css","False"
