"RelativePath","Extension","Lines","Category","Over300"
"src\scripts\console-manager.events.js","js","163","js-runtime","False"
"src\scripts\worm-system.gameover.js","js","163","js-runtime","False"
"src\scripts\lock-manager.loader.js","js","162","js-runtime","False"
"src\scripts\worm\behavior\StealingState.js","js","162","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.drums.sequencer.js","js","160","js-runtime","False"
"src\scripts\problem-manager.js","js","160","js-runtime","False"
"tests\perf-scenarios.spec.js","js","160","tests","False"
"tests\worm-rewards-idempotency.spec.js","js","160","tests","False"
"src\scripts\score-timer.runtime.js","js","157","js-runtime","False"
"src\scripts\worm\behavior\RushingState.js","js","157","js-runtime","False"
"src\scripts\index-page.effects.js","js","156","js-runtime","False"
"src\scripts\player-storage.helpers.js","js","155","js-runtime","False"
"src\scripts\symbol-rain.helpers.spatial.js","js","155","js-runtime","False"
"src\scripts\player-storage.js","js","154","js-runtime","False"
"src\scripts\worm-constants.js","js","154","js-runtime","False"
"src\scripts\3rdDISPLAY.js","js","153","js-runtime","False"
"src\scripts\index-page.scoreboard.js","js","151","js-runtime","False"
"src\scripts\worm-system.powerups.effects.devil.js","js","151","js-runtime","False"
"src\styles\css\console.core.css","css","151","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.states.css","css","151","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.keyframes.css","css","150","css","False"
"src\styles\css\lock-components\Line-5-transformer.animations.css","css","150","css","False"
"src\scripts\worm-behavior.targeting.js","js","148","js-runtime","False"
"src\scripts\game-effects.js","js","145","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.drums.patterns.js","js","143","js-runtime","False"
"src\scripts\symbol-manager.js","js","143","js-runtime","False"
"src\scripts\symbol-rain.spawn.js","js","143","js-runtime","False"
"src\scripts\worm-powerups.effects.chain.visuals.js","js","142","js-runtime","False"
"src\scripts\worm-system.cache.js","js","142","js-runtime","False"
"tests\mocks\worm-mock.js","js","140","tests","False"
"src\scripts\worm-powerups.effects.devil.js","js","138","js-runtime","False"
"src\scripts\worm-behavior.rush.js","js","136","js-runtime","False"
"src\styles\css\game-responsive.mobile-landscape.css","css","136","css","False"
"tests\performance-bench.spec.js","js","136","tests","False"
"src\styles\css\lock-components\line-2-transformer.structure.css","css","135","css","False"
"src\scripts\interaction-audio.cyberpunk.gameplay.js","js","133","js-runtime","False"
"src\scripts\worm-system.interactions.js","js","133","js-runtime","False"
"src\scripts\worm\behavior\RoamingState.js","js","133","js-runtime","False"
"src\styles\css\lock-responsive.css","css","132","css","False"
"src\scripts\worm-system.rewards.muffin.js","js","130","js-runtime","False"
"src\styles\css\game-polish.chrome.playfield.css","css","130","css","False"
"src\styles\css\worm-base.core.css","css","129","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.keyframes.particles.css","css","128","css","False"
"src\tools\scripts\line-limit\audit-write.js","js","128","tools","False"
"tests\e2e-full-game-stress.spec.js","js","128","tests","False"
"src\scripts\index-page.scoreboard.render.js","js","127","js-runtime","False"
"src\scripts\worm-movement-core.js","js","127","js-runtime","False"
"src\styles\css\lock-components\Line-1-transformer.mechanics.details.css","css","126","css","False"
"src\scripts\constants.part.gameplay.js","js","125","js-runtime","False"
"src\scripts\game-init.js","js","124","js-runtime","False"
"tests\e2e-full-game-critical.spec.js","js","124","tests","False"
"tests\mocks\movement-mock.js","js","124","tests","False"
"src\pages\index.html","html","122","pages","False"
"src\assets\components\lock-components\line-2-transformer.html","html","120","assets-source","False"
"src\scripts\worm-spawn-manager.queue.js","js","120","js-runtime","False"
"src\scripts\ux-toast.js","js","119","js-runtime","False"
"src\scripts\worm-system.cleanup.js","js","118","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.ui.js","js","116","js-runtime","False"
"src\styles\css\worm-base.states.css","css","116","css","False"
"src\scripts\ux-lazy-accessibility.js","js","114","js-runtime","False"
"src\assets\components\lock-components\Line-1-transformer.html","html","113","assets-source","False"
"src\scripts\score-timer.utils.js","js","113","js-runtime","False"
"src\scripts\worm-powerups.effects.chain.js","js","113","js-runtime","False"
"src\styles\css\game-polish.chrome.modal.css","css","113","css","False"
"src\scripts\game-symbol-handler.events.js","js","112","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.encounters.js","js","112","js-runtime","False"
"src\scripts\lock-manager.templates.js","js","112","js-runtime","False"
"src\scripts\worm-powerups.ui.draggable.js","js","112","js-runtime","False"
"src\scripts\console-manager.core.js","js","109","js-runtime","False"
"src\scripts\level-select-page.effects.js","js","109","js-runtime","False"
"src\tools\scripts\line-limit\scan.js","js","109","tools","False"
"eslint.config.js","js","108","misc","False"
"src\scripts\worm-system.movement.js","js","108","js-runtime","False"
"src\scripts\utils-logging.js","js","107","js-runtime","False"
"src\scripts\worm-system.powerups.effects.chain.js","js","107","js-runtime","False"
"src\styles\css\level-select.details.effects.css","css","107","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.keyframes.transform.css","css","104","css","False"
"src\styles\css\worm-effects.powerups.css","css","104","css","False"
"tests\worm-rewards.spec.js","js","104","tests","False"
"src\scripts\worm-cursor-tracker.js","js","102","js-runtime","False"
"src\scripts\worm\index.js","js","102","js-runtime","False"
"src\scripts\utils-resource-manager.js","js","101","js-runtime","False"
"src\styles\css\lock-components\line-3-transformer.core.css","css","101","css","False"
"src\scripts\index-page.core.js","js","100","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.state.js","js","100","js-runtime","False"
"src\scripts\symbol-rain.helpers.spawn.js","js","100","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.drums.playback.js","js","99","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.effects.keyframes.orb.css","css","99","css","False"
"src\styles\css\index.effects.css","css","98","css","False"
"src\scripts\ux-loading.js","js","97","js-runtime","False"
"src\styles\css\lock-components\line-2-transformer.core.css","css","96","css","False"
"tests\drum-progressive.spec.js","js","96","tests","False"
"src\scripts\constants.part.ui.js","js","95","js-runtime","False"
"tests\utils\perf-metrics.js","js","94","tests","False"
"tests\welcome-scoreboard.spec.js","js","94","tests","False"
"src\scripts\lazy-lock-manager.js","js","93","js-runtime","False"
"playwright.competition.config.js","js","92","misc","False"
"src\scripts\lock-manager.events.js","js","92","js-runtime","False"
"src\styles\css\game-animations.celebration.css","css","92","css","False"
"src\styles\css\worm-effects.elementals.css","css","91","css","False"
"src\scripts\worm-powerups.ui.glitch.js","js","89","js-runtime","False"
"src\styles\css\lock-components\line-2-transformer.animations.css","css","88","css","False"
"playwright.config.js","js","87","misc","False"
"src\scripts\service-worker-register.js","js","87","js-runtime","False"
"src\tools\scripts\line-limit\cli.js","js","86","tools","False"
"tests\drum-sequencer.spec.js","js","86","tests","False"
"src\styles\css\console.responsive.css","css","85","css","False"
"src\styles\css\game-animations.combo.css","css","84","css","False"
"src\styles\css\lock-components\line-3-transformer.decorations.css","css","84","css","False"
"tests\utils\lifecycle-tracker.js","js","83","tests","False"
"tests\powerups-glitch.spec.js","js","82","tests","False"
